k,l,u,v,rho,cluster,frame
138,45,3208.98,919.742,-3.34206,16,15
137,24,3198.41,495.088,-3.84552,7,15
138,25,3209.88,514.386,-3.35311,7,15
138,26,3221.72,534.095,-4.11352,7,15
137,26,3199.38,533.252,-3.84552,7,15
138,27,3210.72,552.708,-3.35311,7,15
139,27,3231.91,553.487,-3.84552,7,15
139,26,3243.03,533.835,-3.35311,7,15
140,27,3254.28,554.633,-4.11352,7,15
140,26,3264.37,534.282,-3.84552,7,15
141,25,3275.7,514.955,-3.35311,7,15
141,26,3286.22,534.491,-4.11352,7,15
142,26,3308.3,533.918,-3.35311,7,15
143,27,3319.53,553.54,-4.11352,7,15
142,27,3296.92,553.084,-3.84552,7,15
142,28,3308.42,571.086,-3.35311,7,15
142,29,3296.98,590.15,-3.84552,7,15
143,29,3319.28,590.435,-4.11352,7,15
144,29,3341.13,590.137,-3.35311,7,15
143,28,3329.5,571.141,-3.84552,7,15
144,27,3341.15,552.975,-3.35311,7,15
143,26,3329.42,534.173,-3.84552,7,15
144,25,3341.13,514.849,-3.35311,7,15
144,26,3351.56,535.214,-4.11352,7,15
145,25,3362.4,515.057,-3.84552,7,15
145,24,3374.72,495.889,-3.35311,7,15
145,26,3373.83,533.904,-3.35311,7,15
145,27,3361.96,553.125,-3.84552,7,15
145,28,3373.62,571.066,-3.35311,7,15
144,28,3350.85,571.355,-4.11352,7,15
145,29,3361.58,590.26,-3.84552,7,15
145,30,3373.53,608.971,-3.35311,7,15
145,31,3361.42,628.536,-3.84552,7,15
145,32,3373.33,647.282,-3.35311,7,15
146,33,3385.02,665.944,-4.11352,7,15
145,33,3362.69,665.39,-3.84552,7,15
145,34,3374.92,684.951,-3.35311,7,15
144,33,3341.07,665.12,-3.35311,7,15
143,32,3329.46,647.086,-3.84552,7,15
144,31,3340.96,628.047,-3.35311,7,15
144,32,3351.64,648.015,-4.11352,7,15
143,30,3329.45,609.099,-3.84552,7,15
144,30,3351.37,609.608,-4.11352,7,15
143,31,3319.29,628.504,-4.11352,7,15
142,31,3296.93,628.104,-3.84552,7,15
142,32,3308.07,647.37,-3.35311,7,15
141,32,3286.72,647.38,-4.11352,7,15
140,32,3264.12,647.03,-3.84552,7,15
139,32,3240.77,646.751,-3.35311,7,15
140,31,3254.01,628.568,-4.11352,7,15
139,30,3243.12,609.213,-3.35311,7,15
139,31,3232.05,628.219,-3.84552,7,15
138,32,3221.9,648.531,-4.11352,7,15
138,31,3211.03,628.869,-3.35311,7,15
138,30,3222.28,610.227,-4.11352,7,15
138,29,3210.88,590.224,-3.35311,7,15
139,29,3232.01,590.352,-3.84552,7,15
140,29,3254.58,590.713,-4.11352,7,15
139,28,3243.18,571.046,-3.35311,7,15
140,28,3264.35,571.248,-3.84552,7,15
141,28,3286.93,571.461,-4.11352,7,15
141,29,3275.58,590.112,-3.35311,7,15
141,30,3286.89,609.617,-4.11352,7,15
140,30,3264.29,609.282,-3.84552,7,15
141,31,3275.55,628.168,-3.35311,7,15
142,30,3308.27,609.127,-3.35311,7,15
141,27,3275.64,552.936,-3.35311,7,15
138,33,3210.16,665.791,-3.35311,7,15
139,33,3231.03,664.575,-3.84552,7,15
141,33,3275.59,664.984,-3.35311,7,15
142,33,3297.18,664.35,-3.84552,7,15
142,25,3296.81,515.398,-3.84552,7,15
142,24,3308.32,496.144,-3.35311,7,15
140,25,3253.62,516.391,-4.11352,7,15
139,24,3242.63,495.739,-3.35311,7,15
138,24,3220.14,495.979,-4.11352,7,15
138,23,3209.29,475.855,-3.35311,7,15
139,23,3230.31,477.144,-3.84552,7,15
139,25,3231.36,515.068,-3.84552,7,15
140,24,3263.72,496.781,-3.84552,7,15
136,88,3174.3,1788.08,-3.34703,34,15
137,89,3184.96,1808.53,-4.10744,34,15
138,89,3207.54,1807.86,-3.34703,34,15
137,90,3196.05,1827.13,-3.83944,34,15
138,90,3218.33,1827.49,-4.10744,34,15
139,90,3240.26,1826.82,-3.34703,34,15
139,89,3228.77,1808.51,-3.83944,34,15
139,88,3240.17,1789.28,-3.34703,34,15
139,91,3228.82,1844.84,-3.83944,34,15
139,92,3240.23,1863.89,-3.34703,34,15
140,93,3251.32,1883.58,-4.10744,34,15
139,93,3228.79,1883.22,-3.83944,34,15
139,94,3240.19,1902.06,-3.34703,34,15
140,95,3251.33,1921.65,-4.10744,34,15
139,95,3228.74,1921.29,-3.83944,34,15
138,95,3207.54,1921.3,-3.34703,34,15
137,94,3196.38,1902.18,-3.83944,34,15
138,94,3218.94,1902.65,-4.10744,34,15
138,93,3207.58,1883.01,-3.34703,34,15
137,92,3196.31,1864.11,-3.83944,34,15
138,92,3218.92,1864.45,-4.10744,34,15
138,91,3207.63,1844.78,-3.34703,34,15
137,91,3186.72,1844.9,-4.10744,34,15
136,91,3164.46,1844.28,-3.83944,34,15
136,92,3175.25,1863.76,-3.34703,34,15
137,93,3186.56,1883.66,-4.10744,34,15
136,90,3175.03,1826.59,-3.34703,34,15
136,89,3163.35,1807.17,-3.83944,34,15
139,96,3240.14,1939.08,-3.34703,34,15
139,97,3228.76,1957.49,-3.83944,34,15
140,96,3261.47,1938.66,-3.83944,34,15
141,96,3284.19,1938.19,-4.10744,34,15
141,97,3273.12,1958,-3.34703,34,15
142,97,3294.57,1957.47,-3.83944,34,15
143,97,3317.71,1957.39,-4.10744,34,15
143,98,3327.48,1977.72,-3.83944,34,15
144,97,3338.55,1958.98,-3.34703,34,15
143,96,3325.86,1940.1,-3.83944,34,15
144,95,3337.81,1921.44,-3.34703,34,15
143,95,3315.34,1922.3,-4.10744,34,15
142,94,3305.75,1901.96,-3.34703,34,15
142,95,3293.91,1921.04,-3.83944,34,15
142,96,3305.76,1939.01,-3.34703,34,15
141,94,3283.79,1902.52,-4.10744,34,15
141,93,3273.01,1882.95,-3.34703,34,15
140,94,3261.49,1902.21,-3.83944,34,15
141,95,3273.04,1921.08,-3.34703,34,15
140,92,3261.45,1863.98,-3.83944,34,15
141,92,3283.86,1864.06,-4.10744,34,15
141,91,3273.05,1844.82,-3.34703,34,15
140,91,3250.81,1844.92,-4.10744,34,15
140,90,3261.41,1827.21,-3.83944,34,15
141,90,3283.97,1828.51,-4.10744,34,15
141,89,3272.89,1807.94,-3.34703,34,15
142,89,3294.5,1808.26,-3.83944,34,15
143,89,3317.93,1808.85,-4.10744,34,15
142,88,3306.7,1789.15,-3.34703,34,15
143,88,3328.06,1788.65,-3.83944,34,15
144,89,3339.25,1807.56,-3.34703,34,15
144,90,3348.95,1827.17,-4.10744,34,15
143,90,3328.21,1825.13,-3.83944,34,15
143,91,3315.55,1845.17,-4.10744,34,15
144,91,3338.12,1844.74,-3.34703,34,15
143,92,3326.04,1864.06,-3.83944,34,15
